117,36.65,-0.005
108.95,34.27,-0.02
123.38,41.8,-0.09
126.63,45.75,-0.1
120.19,30.26,0
117.27,31.86,-0.005
106.27,38.47,-0.06
116.46,39.92,-0.025
119.3,26.08,0.08
119.28999999999999,26.08,0.08
106.71,26.57,0.03
106.69999999999999,26.57,0.03
108.33,22.84,0.11
108.32,22.84,0.11
108.31,22.84,0.11
112.53,37.87,-0.04
113.23,23.16,0.11
113.22,23.16,0.11
113.21000000000001,23.16,0.11
106.54,29.59,0.06
106.53,29.59,0.06
110.35,20.02,0.16
110.33999999999999,20.02,0.16
110.33,20.02,0.16
110.32,20.02,0.16
118.78,32.04,-0.005
111.65,40.82,-0.05
87.68,43.77,-0.04
125.35,43.88,-0.095
113.65,34.76,-0.005
117.2,39.13,-0.02
101.74,36.56,-0.065
91.11,29.97,-0.01
113,28.21,0.04
112.99,28.21,0.04
114.17,22.28,0.11
114.16,22.28,0.11
114.15,22.28,0.11
103.73,36.03,-0.045
115.89,28.68,0.04
115.88,28.68,0.04
121.3,25.03,0.13
121.28999999999999,25.03,0.13
121.28,25.03,0.13
121.27,25.03,0.13
113.54,22.19,0.11
113.53,22.19,0.11
113.52000000000001,22.19,0.11
114.48,38.03,-0.01
114.31,30.52,0.03
114.3,30.52,0.03
121.48,31.22,-0.005
102.73,25.04,0.03
102.72,25.04,0.03
104.06,30.67,0.05
104.05,30.67,0.05
